anio,ID,sede,facultad,carrera,prom_simp_x_ciclo,prom_pond_x_ciclo,cursos_x_ciclo,Promedio_Simple_Acumulado,Promedio_Ponderado_Acumulado,cursos_acumulados,No_Sede,Sede,No_Facultad,Facultad,No_Carrera,Carrera,No_curso,Nombre_Curso,Nota,Nota_Calculo_Prom,Creditos,No_ciclo,Nombre_Ciclo,Eje,No_pensum,No_jornada,No_seccion_fac,No_tip_examen,Tipo_Examen
18,87118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,89.0,88.2,4,82.44000244140625,81.06999969482422,18,1,CAMPUS CENTRAL,2,INGENIERÍA,2,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,336,ESTRATEGIAS DE COMUNICACION LINGUISTICA (CFI),94,94.0,4,1801,Primer Ciclo 2018,,18001,1,25.0,1,1ra. convocatoria
18,87118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,89.0,88.2,4,82.44000244140625,81.06999969482422,18,1,CAMPUS CENTRAL,2,INGENIERÍA,2,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,338,ESTRATEGIAS DE RAZONAMIENTO (CFI),82,82.0,4,1801,Primer Ciclo 2018,,18001,1,25.0,1,1ra. convocatoria
18,87118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,89.0,88.2,4,82.44000244140625,81.06999969482422,18,1,CAMPUS CENTRAL,2,INGENIERÍA,2,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,312,INGLES 1,A,,0,1801,Primer Ciclo 2018,,18001,6,,5,Suficiencia
18,87118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,89.0,88.2,4,82.44000244140625,81.06999969482422,18,1,CAMPUS CENTRAL,2,INGENIERÍA,2,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,314,INGLES 2,A,,0,1801,Primer Ciclo 2018,,18001,6,,5,Suficiencia
18,87118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,89.0,88.2,4,82.44000244140625,81.06999969482422,18,1,CAMPUS CENTRAL,2,INGENIERÍA,2,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,316,INGLES 3,A,,0,1801,Primer Ciclo 2018,,18001,6,,5,Suficiencia
18,87118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,89.0,88.2,4,82.44000244140625,81.06999969482422,18,1,CAMPUS CENTRAL,2,INGENIERÍA,2,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,318,INGLES 4,A,,0,1801,Primer Ciclo 2018,,18001,6,,5,Suficiencia
18,87118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,89.0,88.2,4,82.44000244140625,81.06999969482422,18,1,CAMPUS CENTRAL,2,INGENIERÍA,2,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,320,INGLES 5,A,,0,1801,Primer Ciclo 2018,,18001,6,,5,Suficiencia
18,87118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,89.0,88.2,4,82.44000244140625,81.06999969482422,18,1,CAMPUS CENTRAL,2,INGENIERÍA,2,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,378,MAGIS LANDIVARIANO (CFI),96,96.0,2,1801,Primer Ciclo 2018,,18001,1,25.0,1,1ra. convocatoria
18,87118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,89.0,88.2,4,82.44000244140625,81.06999969482422,18,1,CAMPUS CENTRAL,2,INGENIERÍA,2,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20700,MATEMATICA I,82,82.0,6,1801,Primer Ciclo 2018,MATEMATICA (CIENCIAS BASICAS),18001,1,5.0,1,1ra. convocatoria
18,87118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,89.0,88.2,4,82.44000244140625,81.06999969482422,18,1,CAMPUS CENTRAL,2,INGENIERÍA,2,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21000,QUIMICA I,80,80.0,6,1801,Primer Ciclo 2018,QUÍMICA (CIENCIAS BASICAS),18001,1,5.0,1,1ra. convocatoria
18,87118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,89.0,88.2,4,82.44000244140625,81.06999969482422,18,1,CAMPUS CENTRAL,2,INGENIERÍA,2,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,342,ESTRATEGIAS BASICAS DE INVESTIGACION (CFI),93,93.0,4,1802,Interciclo 2018,,18001,1,24.0,1,1ra. convocatoria
18,87118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,89.0,88.2,4,82.44000244140625,81.06999969482422,18,1,CAMPUS CENTRAL,2,INGENIERÍA,2,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20706,MATEMATICA II,78,78.0,4,1802,Interciclo 2018,MATEMÁTICA (CIENCIAS BASICAS),18001,1,2.0,1,1ra. convocatoria
18,87118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,89.0,88.2,4,82.44000244140625,81.06999969482422,18,1,CAMPUS CENTRAL,2,INGENIERÍA,2,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21010,QUIMICA II,77,77.0,5,1802,Interciclo 2018,,18001,1,2.0,1,1ra. convocatoria
18,87118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,89.0,88.2,4,82.44000244140625,81.06999969482422,18,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20077,CALCULO I,50,50.0,6,1803,Segundo Ciclo 2018,MATEMATICA (CIENCIAS BASICAS),18002,1,6.0,1,1ra. convocatoria
