anio,ID,sede,facultad,carrera,prom_simp_x_ciclo,prom_pond_x_ciclo,cursos_x_ciclo,Promedio_Simple_Acumulado,Promedio_Ponderado_Acumulado,cursos_acumulados,No_Sede,Sede,No_Facultad,Facultad,No_Carrera,Carrera,No_curso,Nombre_Curso,Nota,Nota_Calculo_Prom,Creditos,No_ciclo,Nombre_Ciclo,Eje,No_pensum,No_jornada,No_seccion_fac,No_tip_examen,Tipo_Examen
18,121118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,73.67,73.0,3,75.05999755859375,74.19999694824219,16,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,336,ESTRATEGIAS DE COMUNICACION LINGUISTICA (CFI),79,79.0,4,1801,Primer Ciclo 2018,,18001,1,28.0,1,1ra. convocatoria
18,121118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,73.67,73.0,3,75.05999755859375,74.19999694824219,16,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,338,ESTRATEGIAS DE RAZONAMIENTO (CFI),75,75.0,4,1801,Primer Ciclo 2018,,18001,1,28.0,1,1ra. convocatoria
18,121118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,73.67,73.0,3,75.05999755859375,74.19999694824219,16,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,312,INGLES 1,A,,0,1801,Primer Ciclo 2018,,18001,6,,5,Suficiencia
18,121118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,73.67,73.0,3,75.05999755859375,74.19999694824219,16,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,314,INGLES 2,A,,0,1801,Primer Ciclo 2018,,18001,6,,5,Suficiencia
18,121118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,73.67,73.0,3,75.05999755859375,74.19999694824219,16,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,316,INGLES 3,A,,0,1801,Primer Ciclo 2018,,18001,6,,5,Suficiencia
18,121118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,73.67,73.0,3,75.05999755859375,74.19999694824219,16,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,318,INGLES 4,A,,0,1801,Primer Ciclo 2018,,18001,6,,5,Suficiencia
18,121118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,73.67,73.0,3,75.05999755859375,74.19999694824219,16,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,320,INGLES 5,A,,0,1801,Primer Ciclo 2018,,18001,6,,5,Suficiencia
18,121118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,73.67,73.0,3,75.05999755859375,74.19999694824219,16,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20976,INTRODUCCION A LA INGENIERIA EN INFORMATICA Y SISTEMAS,83,83.0,2,1801,Primer Ciclo 2018,,18001,1,3.0,1,1ra. convocatoria
18,121118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,73.67,73.0,3,75.05999755859375,74.19999694824219,16,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,20700,MATEMATICA I,65,65.0,6,1801,Primer Ciclo 2018,MATEMATICA (CIENCIAS BASICAS),18001,1,8.0,1,1ra. convocatoria
18,121118,Campus Central,INGENIERÍA,INGENIERÍA EN INFORMÁTICA Y SISTEMAS,73.67,73.0,3,75.05999755859375,74.19999694824219,16,1,CAMPUS CENTRAL,2,INGENIERÍA,8,LICENCIATURA EN INGENIERÍA EN INFORMÁTICA Y SISTEMAS,21000,QUIMICA I,69,69.0,6,1801,Primer Ciclo 2018,QUÍMICA (CIENCIAS BASICAS),18001,1,8.0,1,1ra. convocatoria
